form	flagged	total	fraction
NAVPERS1300-29 - NAVY Reserve Definite Recall Application	2	102	0.02
NAVPERS1300-30 - NAVY Reserve Definite Pre-Reporting Checklist	1	51	0.02
NAVPERS1610-2 - Fitness Rpt  Counseling Record (e7-06)	2	106	0.02
NAVMC10576 - Memorandum Receipt For Individual Weapon  Accessories	1	53	0.02
NAVPERS1001-3 - Ready Reserve Screening Questionaire	1	54	0.02
NAVPERS1640-34 - Prisoner Transport Team (ptt) Mission Brief	1	54	0.02
OPNAV3750-59 - Wamhrs General Information	4	218	0.02
OPNAV5110-9 - Mail Manifest	2	110	0.02
OPNAV8000-10 - Maintenance Data System - Configuration Summary HarmAargm	2	112	0.02
OPNAV4790-2P - Maint - Planning  Estimating Form	10	568	0.02
OPNAV4440-4 - Operating Materials And Supplies Quarterly Oversight Report	2	116	0.02
OPNAV8000-5 - Maintenance Data System - Configuration Summary Sparrow	2	116	0.02
NAVMC11330 - Request For Government Air Transportation	1	58	0.02
OPNAV5720-15 - FA-18 Rider Letter And Medical Questionaire	1	58	0.02
NAVMC11642 - Garrison Mess Hall Evaluation Record	2	117	0.02
NAVPERS1300-33 - NAVY Reserve Definite Recall Pre-Screen	1	60	0.02
OPNAV8000-6 - Maintenance Data System - Configuration Summary Amraam	2	121	0.02
NAVMC11731 - Supervisor - Co-Worker Interview	2	122	0.02
OPNAV4790-28A - Scheduled Removal Component Card	1	61	0.02
NAVMC11738 - Marine Corps Martial Arts Mishap Report	1	62	0.02
OPNAV5522-2 - Periodic Automated External Defibullator (aed) Record For Year _____	1	63	0.02
OPNAV8000-8 - Fleet Confirguration Summary HarpoonSlamSlam Er Missile	2	128	0.02
OPNAV5210-81 - Opnav Records Management Program Self-Assessment	2	129	0.02
OPNAV4790-2K - Ships Maintenance Action Form (2-Kilo) (imf Ver)	11	738	0.01
NAVMC10573 - Biographical Data	2	138	0.01
OPNAV5580-1 - Incident Report	8	561	0.01
OPNAV5119-7 - Ashore Oconus Annual Postal Facility Inspection Checklist	6	433	0.01
NAVPERS1306-92 - Special Program Screening Form	1	75	0.01
NAVMC11118 - Reporting-Detaching Quarters  Mess Endorsement	1	77	0.01
NAVPERS1040-4 - Career Waypoints Application	1	84	0.01
NAVPERS1610-1 - FitrepEval Summary Ltr	3	276	0.01
NAVMC10939B - Jrotc Memorandum Receipt For Uniform Issue Female Cadet	2	196	0.01
NAVMC11008A - Kd Course Qualification-Requalification Line Scorecard - Permanent	1	99	0.01
NAVMC11009A - Kd Course Qualification-Requalification Pit Score Card - Permanent	1	99	0.01
OPNAV4790-22A - Inspection Record	1	106	0.01
NAVMCHQ820 - Service Call Log	1	109	0.01
OPNAV8020-7 - Ammunition And Explosives Qualification And Certification Self-Assessment	1	109	0.01
NAVMC10627 - Vehicle  Equipment Operational Record (11240) (admin  Tactical Motor Vehicles)	3	345	0.01
NAVMC11417 - Marine Corps Bachelor Housing Utilization Report	1	137	0.01
NAVMC10154 - Personal Effects Inventory	2	277	0.01
OPNAV5119-2 - Afloat Postal Assessment Checklist	1	178	0.01
OPNAV4790-21A - Monthly Flight Summary	3	604	0.00
NAVMC11537A - Reserve Reenlistment Extension Lateral Move (rrelm) Request	1	206	0.00
OPNAV3750-60 - Wamhrs Aircraft Information	1	237	0.00
NAVMC1330-1 - Commanding Officers Screening-Interview Guide For Sda	2	512	0.00
NAVMC11338 - Hmx-1 Applicant Screen-Interview	1	333	0.00
NAVMC631A - Indivdual Clothing Record (womens)	3	1308	0.00
NAVMC631 - Individual Clothing Record (mens)	2	1277	0.00
OPNAV8000-12 - Maintenance Data System - Confirguration Summary Harpoon (body)	1	867	0.00
OPNAV5585-3 - Detector Dog Training  Utilization Record	1	1520	0.00
